territory,company,city,state,zip,current_rep,rep_tier,orders,net_sales,last_order,first_order,status,tier
Houston / South Texas,Ace Plastic Surgery,Boerne,TX,78006,Lexi Cavaliere,1099,1,1687.5,2026-03-10,2026-03-10,CLAIMED (stays w/ rep),2
Houston / South Texas,Advanced Dermatology-A Forefront Derm Practice,Pearland,TX,77584,Lexi Cavaliere,1099,1,1687.5,2026-02-10,2026-02-10,CLAIMED (stays w/ rep),2
Houston / South Texas,Alive and Well-Retail Team,Bee Cave,TX,78738,Lexi Cavaliere,1099,1,1687.5,2026-05-12,2026-05-12,CLAIMED (stays w/ rep),2
Houston / South Texas,Aura Wellness & Aesthetics,San Antonio,TX,78232,Lexi Cavaliere,1099,1,1687.5,2026-06-12,2026-06-12,CLAIMED (stays w/ rep),2
Houston / South Texas,Austin Med Spa,Austin,TX,78703,Lexi Cavaliere,1099,1,1687.5,2024-11-07,2024-11-07,CLAIMED (stays w/ rep),2
Houston / South Texas,AUVEAU MEDSPA,Austin,TX,78746,Lexi Cavaliere,1099,1,1687.5,2024-10-18,2024-10-18,CLAIMED (stays w/ rep),2
Houston / South Texas,B+A Medical Aesthetics,Cedar Park,TX,78613,Lexi Cavaliere,1099,1,1687.5,2026-05-29,2026-05-29,CLAIMED (stays w/ rep),2
Houston / South Texas,B+A Medical Surgeons,Cedar Park,TX,78613,Lexi Cavaliere,1099,1,1687.5,2026-05-29,2026-05-29,CLAIMED (stays w/ rep),2
Houston / South Texas,Belavie Wellness Clinic,McAllen,TX,78504,Lexi Cavaliere,1099,1,1687.5,2026-05-29,2026-05-29,CLAIMED (stays w/ rep),2
Houston / South Texas,Belle Ame Aesthetics,La Vernia,TX,78121,Lexi Cavaliere,1099,1,1687.5,2025-12-24,2025-12-24,CLAIMED (stays w/ rep),2
Houston / South Texas,Complete Dermatology: Dr. Baumgardener & Dr. Wolf,Sugar Land,TX,77479,Lexi Cavaliere,1099,1,1687.5,2026-06-04,2026-06-04,CLAIMED (stays w/ rep),2
Houston / South Texas,Elara Aesthetics,Boerne,TX,78006,Lexi Cavaliere,1099,1,1687.5,2026-02-13,2026-02-13,CLAIMED (stays w/ rep),2
Houston / South Texas,Ella Medical Aesthetics,West Lake Hills,TX,78746,Lexi Cavaliere,1099,1,1687.5,2025-05-15,2025-05-15,CLAIMED (stays w/ rep),2
Houston / South Texas,Emerald Aesthetics and Wellness,Houston,TX,77079,Lexi Cavaliere,1099,1,1687.5,2025-02-04,2025-02-04,CLAIMED (stays w/ rep),2
Houston / South Texas,Glow Up Drip Spa,Seabrook,TX,77586,Lexi Cavaliere,1099,1,1687.5,2025-01-20,2025-01-20,CLAIMED (stays w/ rep),2
Houston / South Texas,Good Medicine,New Braunfels,TX,78130,Lexi Cavaliere,1099,1,1687.5,2025-11-23,2025-11-23,CLAIMED (stays w/ rep),2
Houston / South Texas,HAPPY BODY ATX,Austin,TX,78738,Lexi Cavaliere,1099,1,1687.5,2024-12-02,2024-12-02,CLAIMED (stays w/ rep),2
Houston / South Texas,Haus of Aesthetics,San Antonio,TX,78240,Lexi Cavaliere,1099,1,1687.5,2025-11-19,2025-11-19,CLAIMED (stays w/ rep),2
Houston / South Texas,Helotes Derma Aesthetics,Helotes,TX,78023,Lexi Cavaliere,1099,1,1687.5,2026-02-03,2026-02-03,CLAIMED (stays w/ rep),2
Houston / South Texas,Hibiscus Aesthetics and Wellness,Katy,TX,77494,Lexi Cavaliere,1099,1,1687.5,2026-04-22,2026-04-22,CLAIMED (stays w/ rep),2
Houston / South Texas,Integrative Wellness & Aesthetics,Laredo,TX,78041,Lexi Cavaliere,1099,1,1687.5,2026-02-27,2026-02-27,CLAIMED (stays w/ rep),2
Houston / South Texas,Jovem Med Spa,San Antonio,TX,78257,Lexi Cavaliere,1099,1,1687.5,2025-10-10,2025-10-10,CLAIMED (stays w/ rep),2
Houston / South Texas,Just Peachie Wellness,Victoria,TX,77901,Lexi Cavaliere,1099,1,1687.5,2026-02-17,2026-02-17,CLAIMED (stays w/ rep),2
Houston / South Texas,Kalon Aesthetics + Wellness,Austin,TX,78737,Lexi Cavaliere,1099,1,1687.5,2025-02-24,2025-02-24,CLAIMED (stays w/ rep),2
Houston / South Texas,La Bella Med Aesthetics,Austin,TX,78747,Lexi Cavaliere,1099,1,1687.5,2026-02-18,2026-02-18,CLAIMED (stays w/ rep),2
Houston / South Texas,Luxe Lift in Drip,Austin,TX,78737,Lexi Cavaliere,1099,1,1687.5,2026-04-30,2026-04-30,CLAIMED (stays w/ rep),2
Houston / South Texas,Luxury Aesthetics LLC,Canyon Lake,TX,78133,Lexi Cavaliere,1099,1,1687.5,2025-12-29,2025-12-29,CLAIMED (stays w/ rep),2
Houston / South Texas,Luxxe Wellness & Beauty,San Antonio,TX,78258,Lexi Cavaliere,1099,1,1687.5,2026-03-12,2026-03-12,CLAIMED (stays w/ rep),2
Houston / South Texas,Mederna Aesthetics and Wellness,Houston,TX,77007,Lexi Cavaliere,1099,1,1687.5,2025-01-15,2025-01-15,CLAIMED (stays w/ rep),2
Houston / South Texas,MedsapatVillago,Katy,TX,77450,Lexi Cavaliere,1099,1,1687.5,2024-11-26,2024-11-26,CLAIMED (stays w/ rep),2
Houston / South Texas,Melissa Gibbens Aesthetics and Wellness,Houston,TX,77079,Lexi Cavaliere,1099,1,1687.5,2025-01-20,2025-01-20,CLAIMED (stays w/ rep),2
Houston / South Texas,Mercy Med Spa,Weslaco,TX,78596,Lexi Cavaliere,1099,1,1687.5,2026-04-28,2026-04-28,CLAIMED (stays w/ rep),2
Houston / South Texas,Monarch Wellness & Aesthetics Lounge,Baytown,TX,77521,Lexi Cavaliere,1099,1,1687.5,2026-06-09,2026-06-09,CLAIMED (stays w/ rep),2
Houston / South Texas,North Star Med Spa,Houston,TX,77089,Lexi Cavaliere,1099,1,1687.5,2024-12-16,2024-12-16,CLAIMED (stays w/ rep),2
Houston / South Texas,Parkhurst Luxe Medical Spa,San Antonio,TX,78229,Lexi Cavaliere,1099,1,1687.5,2025-10-06,2025-10-06,CLAIMED (stays w/ rep),2
Houston / South Texas,Plastic Surgery of Austin,Lakeway,TX,78738,Lexi Cavaliere,1099,1,1687.5,2026-03-12,2026-03-12,CLAIMED (stays w/ rep),2
Houston / South Texas,Priscilla Medical Aesthetics,McAllen,TX,78504,Lexi Cavaliere,1099,1,1687.5,2026-04-27,2026-04-27,CLAIMED (stays w/ rep),2
Houston / South Texas,"Rejuvilux Wellness, PLLC",San Antonio,TX,78251,Lexi Cavaliere,1099,1,1687.5,2025-12-04,2025-12-04,CLAIMED (stays w/ rep),2
Houston / South Texas,"Rise Med Spa, PLLC",Houston,TX,77094,Lexi Cavaliere,1099,1,1687.5,2026-04-15,2026-04-15,CLAIMED (stays w/ rep),2
Houston / South Texas,Savage Beauty,Fredericksburg,TX,78624,Lexi Cavaliere,1099,1,1687.5,2026-06-12,2026-06-12,CLAIMED (stays w/ rep),2
Houston / South Texas,Seoul Glow Clinic,Conroe,TX,77302,Lexi Cavaliere,1099,1,1687.5,2025-12-08,2025-12-08,CLAIMED (stays w/ rep),2
Houston / South Texas,Simple Radiance Medspa,Austin,TX,78731,Lexi Cavaliere,1099,1,1687.5,2025-03-31,2025-03-31,CLAIMED (stays w/ rep),2
Houston / South Texas,Skin Perfections,Brownsville,TX,78526,Lexi Cavaliere,1099,1,1687.5,2026-04-20,2026-04-20,CLAIMED (stays w/ rep),2
Houston / South Texas,SKN FIT,Corpus Christi,TX,78411,Lexi Cavaliere,1099,1,1687.5,2026-05-29,2026-05-29,CLAIMED (stays w/ rep),2
Houston / South Texas,Snyder Dermatology,Austin,TX,78703,Lexi Cavaliere,1099,1,1687.5,2026-02-03,2026-02-03,CLAIMED (stays w/ rep),2
Houston / South Texas,Sotelo Dermatology,McAllen,TX,78504,Lexi Cavaliere,1099,1,1687.5,2026-05-13,2026-05-13,CLAIMED (stays w/ rep),2
Houston / South Texas,Suzette Schmidt,Austin,TX,78703,Lexi Cavaliere,1099,1,1687.5,2025-09-12,2025-09-12,CLAIMED (stays w/ rep),2
Houston / South Texas,The Limmer Hair Transplant Center,San Antonio,TX,78216,Lexi Cavaliere,1099,1,1687.5,2025-02-12,2025-02-12,CLAIMED (stays w/ rep),2
Houston / South Texas,The Skin MD,Shavano Park,TX,78249,Lexi Cavaliere,1099,1,1687.5,2024-12-04,2024-12-04,CLAIMED (stays w/ rep),2
Houston / South Texas,Tran Ha Aesthetics,Richmond,TX,77407,Jamie Bergeron,Existing,1,1687.5,2026-06-02,2026-06-02,CLAIMED (stays w/ rep),2
Houston / South Texas,Tulua Aesthetics and Wellness,Rosharon,TX,77583,Lexi Cavaliere,1099,1,1687.5,2024-11-22,2024-11-22,CLAIMED (stays w/ rep),2
Houston / South Texas,Vibrant Medspa,Round Rock,TX,78665,Lexi Cavaliere,1099,1,1687.5,2024-12-13,2024-12-13,CLAIMED (stays w/ rep),2
Houston / South Texas,Z Aesthetics,Laredo,TX,78041,Lexi Cavaliere,1099,1,1687.5,2026-03-23,2026-03-23,CLAIMED (stays w/ rep),2
Houston / South Texas,"A Glow Everlasting Beauty, LLC",League City,TX,77573,Lexi Cavaliere,1099,1,1518.75,2025-07-30,2025-07-30,CLAIMED (stays w/ rep),2
Houston / South Texas,Aesthetic House,The Woodlands,TX,77380,Lexi Cavaliere,1099,1,1518.75,2026-03-13,2026-03-13,CLAIMED (stays w/ rep),2
Houston / South Texas,Aura Beauty + Aesthetics,Spring,TX,77381,Lexi Cavaliere,1099,1,1518.75,2026-03-02,2026-03-02,CLAIMED (stays w/ rep),2
Houston / South Texas,Clean Slate Esthetics,Friendswood,TX,77546,Lexi Cavaliere,1099,1,1518.75,2025-10-31,2025-10-31,CLAIMED (stays w/ rep),2
Houston / South Texas,Halo and Harmony,Alvin,TX,77511,Lexi Cavaliere,1099,1,1518.75,2025-09-24,2025-09-24,CLAIMED (stays w/ rep),2
Houston / South Texas,Kai Spa,Houston,TX,77027,Lexi Cavaliere,1099,1,1518.75,2026-05-28,2026-05-28,CLAIMED (stays w/ rep),2
Houston / South Texas,"Kelly Skin & Health, LLC dba DRVN Aesthetics",Conroe,TX,77304,Lexi Cavaliere,1099,1,1518.75,2025-12-22,2025-12-22,CLAIMED (stays w/ rep),2
Houston / South Texas,"Lonestar Wellness & Aesthetics, PLLC",Fredericksburg,TX,78624,Lexi Cavaliere,1099,1,1518.75,2026-02-06,2026-02-06,CLAIMED (stays w/ rep),2
Houston / South Texas,"Luxe Aesthetics and Wellness, PLLC",Alice,TX,78332,Lexi Cavaliere,1099,1,1518.75,2025-07-30,2025-07-30,CLAIMED (stays w/ rep),2
Houston / South Texas,Muy Bueno Injections,San Antonio,TX,78260,Lexi Cavaliere,1099,1,1518.75,2025-07-30,2025-07-30,CLAIMED (stays w/ rep),2
Houston / South Texas,Revive Health Solutions,Spring,TX,77379,Lexi Cavaliere,1099,1,1518.75,2025-12-15,2025-12-15,CLAIMED (stays w/ rep),2
Houston / South Texas,Royal Aesthetics,Conroe,TX,77384,Lexi Cavaliere,1099,1,1518.75,2026-01-09,2026-01-09,CLAIMED (stays w/ rep),2
Houston / South Texas,Vivid Drips and Beauty Bar,Houston,TX,77044,Lexi Cavaliere,1099,1,1518.75,2025-07-30,2025-07-30,CLAIMED (stays w/ rep),2
Houston / South Texas,It's a Secret Med Spa,The Woodlands,TX,77380,Jamie Bergeron,Existing,1,1507.5,2026-06-08,2026-06-08,CLAIMED (stays w/ rep),2
Houston / South Texas,It's a Secret Med Spa,Austin,TX,78704,Lexi Cavaliere,1099,1,1507.5,2026-06-08,2026-06-08,CLAIMED (stays w/ rep),2
Houston / South Texas,It's a Secret Med Spa,Austin,TX,78758,Lexi Cavaliere,1099,1,1507.5,2026-06-08,2026-06-08,CLAIMED (stays w/ rep),2
Houston / South Texas,It's a Secret Med Spa,Houston,TX,77007,Lexi Cavaliere,1099,1,1350.0,2026-01-06,2026-01-06,CLAIMED (stays w/ rep),2
Houston / South Texas,Viva  Day Spa,Austin,TX,78757,Lexi Cavaliere,1099,1,870.0,2026-06-04,2026-06-04,CLAIMED (stays w/ rep),2
Houston / South Texas,Kalon Aesthetic Consulting,Austin,TX,78749,,,1,0.0,2026-05-22,2026-05-22,OPEN (1099 white space),2
Philadelphia / Pittsburgh,Bloom Facial Plastic Surgery,Bryn Mawr,PA,19010,Jim & Anne Weeks,1099,5,7305.75,2026-01-13,2024-11-08,CLAIMED (stays w/ rep),2
Philadelphia / Pittsburgh,BAM Aesthetics & Wellness,Blue Bell,PA,19422,Sherry Quinn,Existing,2,3206.25,2026-03-05,2025-05-08,CLAIMED (stays w/ rep),2
Philadelphia / Pittsburgh,Cirillo Cosmetic Dermatology and Spa,Bryn Mawr,PA,19010,Sherry Quinn,Existing,1,2388.75,2026-04-01,2026-04-01,CLAIMED (stays w/ rep),2
Philadelphia / Pittsburgh,Arlie Aesthetics,Pittsburgh,PA,15241,Sherry Quinn,Existing,1,1687.5,2026-04-22,2026-04-22,CLAIMED (stays w/ rep),2
Philadelphia / Pittsburgh,Hurley Dermatology,West Chester,PA,19380,Sherry Quinn,Existing,1,1687.5,2026-05-01,2026-05-01,CLAIMED (stays w/ rep),2
Buffalo / Rochester / Albany,Magnolia Dermatology & Aesthetics,Latham,NY,12110,Jim & Anne Weeks,1099,2,3375.0,2026-05-21,2026-01-09,CLAIMED (stays w/ rep),3
Buffalo / Rochester / Albany,Schweiger Dermatology Group,Hamburg,NY,14075,,,1,1687.5,2025-08-08,2025-08-08,OPEN (1099 white space),3
Mississippi / Alabama,Skin Wellness Dermatology,Birmingham,AL,35209,Taylor Bates,Existing,7,10854.0,2026-06-17,2025-10-22,CLAIMED (stays w/ rep),3
Mississippi / Alabama,Skinwellness Dermatology,Birmingham,AL,35209,Dia Lamport,Existing,4,8257.5,2025-09-10,2025-02-27,CLAIMED (stays w/ rep),3
Mississippi / Alabama,Advanced Dermatology and Skin Cancer Associates,Olive Branch,MS,38654,Taylor Bates,Existing,2,7717.5,2026-02-19,2025-08-14,CLAIMED (stays w/ rep),3
Mississippi / Alabama,Total Dermatology,Birmingham,AL,35203,Taylor Bates,Existing,5,7236.0,2026-03-25,2025-10-23,CLAIMED (stays w/ rep),3
Mississippi / Alabama,Associated Dermatologists,Birmingham,AL,35235,Taylor Bates,Existing,2,3375.0,2026-05-20,2025-05-01,CLAIMED (stays w/ rep),3
Mississippi / Alabama,"Daniel E. Russo, M.D.",Mountain Brook,AL,35223,Taylor Bates,Existing,2,2412.0,2026-02-20,2025-12-18,CLAIMED (stays w/ rep),3
Mississippi / Alabama,Cahaba Derm,Birmingham,AL,35244,,,1,1687.5,2025-07-22,2025-07-22,OPEN (1099 white space),3
Mississippi / Alabama,Mad Esthetics,Madison,MS,39110,Taylor Bates,Existing,1,1687.5,2025-10-31,2025-10-31,CLAIMED (stays w/ rep),3
Mississippi / Alabama,Remedy Aesthetics,Tupelo,MS,38801,Becky Curry,Existing,1,1687.5,2024-11-01,2024-11-01,CLAIMED (stays w/ rep),3
Mississippi / Alabama,Timeless Aesthetics + Wellness,Hattiesburg,MS,39401,Taylor Bates,Existing,1,1687.5,2025-12-03,2025-12-03,CLAIMED (stays w/ rep),3
Mississippi / Alabama,Westmoreland dermatology,Columbus,MS,39705,,,1,1687.5,2025-03-20,2025-03-20,OPEN (1099 white space),3
Mississippi / Alabama,La Bella Skin & Wellness,Birmingham,AL,35210,Taylor Bates,Existing,1,1518.75,2026-03-31,2026-03-31,CLAIMED (stays w/ rep),3
Mississippi / Alabama,Petro Aesthetics,Vestavia Hills,AL,35216,,,1,1518.75,2025-07-07,2025-07-07,OPEN (1099 white space),3
Mississippi / Alabama,Skin Medspa,Tuscaloosa,AL,35406,Taylor Bates,Existing,1,1518.75,2026-01-01,2026-01-01,CLAIMED (stays w/ rep),3
Mississippi / Alabama,Indian Hills Aesthetics,Tuscaloosa,AL,35406,Taylor Bates,Existing,1,1434.38,2026-05-30,2026-05-30,CLAIMED (stays w/ rep),3
Mississippi / Alabama,"Daniel E. Rousso, M.D.",Mountain Brook,AL,35223,Taylor Bates,Existing,1,1206.0,2026-05-12,2026-05-12,CLAIMED (stays w/ rep),3
